# epoch;step;loss
0.000;0.000;0.468
0.000;1.000;3.028
0.000;2.000;2.700
0.000;3.000;0.755
0.000;4.000;1.955
0.000;5.000;2.394
0.000;6.000;2.360
0.000;7.000;4.487
0.000;8.000;2.196
0.000;9.000;3.708
0.000;10.000;1.767
0.000;11.000;2.131
0.000;12.000;4.790
0.000;13.000;0.194
0.000;14.000;1.882
0.000;15.000;0.823
0.000;16.000;0.337
0.000;17.000;0.559
0.000;18.000;0.093
0.000;19.000;0.141
0.000;20.000;0.907
0.000;21.000;0.306
0.000;22.000;0.305
0.000;23.000;0.111
0.000;24.000;1.836
0.000;25.000;0.884
0.000;26.000;1.676
0.000;27.000;15.880
0.000;28.000;0.558
0.000;29.000;0.150
0.000;30.000;0.288
0.000;31.000;0.116
0.000;32.000;0.117
0.000;33.000;0.112
0.000;34.000;0.146
0.000;35.000;0.207
0.000;36.000;0.203
0.000;37.000;0.619
0.000;38.000;0.206
0.000;39.000;0.081
0.000;40.000;0.174
0.000;41.000;0.112
0.000;42.000;0.217
0.000;43.000;0.186
0.000;44.000;0.136
0.000;45.000;0.155
0.000;46.000;0.139
0.000;47.000;0.106
0.000;48.000;0.196
0.000;49.000;0.350
0.000;50.000;0.197
0.000;51.000;0.218
0.000;52.000;0.257
0.000;53.000;0.820
0.000;54.000;0.152
0.000;55.000;0.154
0.000;56.000;0.785
0.000;57.000;0.333
0.000;58.000;0.054
0.000;59.000;0.084
0.000;60.000;0.150
0.000;61.000;0.139
0.000;62.000;0.139
0.000;63.000;0.088
0.000;64.000;0.109
0.000;65.000;0.189
0.000;66.000;0.125
0.000;67.000;0.115
0.000;68.000;0.076
0.000;69.000;0.171
0.000;70.000;0.102
0.000;71.000;0.109
0.000;72.000;0.120
0.000;73.000;0.142
0.000;74.000;0.058
0.000;75.000;0.105
0.000;76.000;0.095
0.000;77.000;0.192
0.000;78.000;0.143
0.000;79.000;0.079
0.000;80.000;0.116
0.000;81.000;0.095
0.000;82.000;0.067
0.000;83.000;0.080
0.000;84.000;0.036
0.000;85.000;0.092
0.000;86.000;0.090
0.000;87.000;0.054
0.000;88.000;0.127
0.000;89.000;0.075
0.000;90.000;0.081
0.000;91.000;0.065
0.000;92.000;0.087
0.000;93.000;0.069
0.000;94.000;0.130
0.000;95.000;0.030
0.000;96.000;0.033
0.000;97.000;0.154
0.000;98.000;0.128
0.000;99.000;0.037
0.000;100.000;0.024
0.000;101.000;0.041
0.000;102.000;0.092
0.000;103.000;0.106
0.000;104.000;0.152
0.000;105.000;0.077
0.000;106.000;0.068
0.000;107.000;0.072
0.000;108.000;0.063
0.000;109.000;0.062
0.000;110.000;0.042
0.000;111.000;0.069
0.000;112.000;0.033
0.000;113.000;0.105
0.000;114.000;0.076
0.000;115.000;0.073
0.000;116.000;0.051
0.000;117.000;0.047
0.000;118.000;0.119
0.000;119.000;0.079
0.000;120.000;0.091
0.000;121.000;0.042
0.000;122.000;0.119
0.000;123.000;0.062
0.000;124.000;0.139
0.000;125.000;0.103
0.000;126.000;0.086
0.000;127.000;0.128
0.000;128.000;0.069
0.000;129.000;0.079
0.000;130.000;0.079
0.000;131.000;0.132
0.000;132.000;0.039
0.000;133.000;0.060
0.000;134.000;0.056
0.000;135.000;0.109
0.000;136.000;0.127
0.000;137.000;0.049
0.000;138.000;0.093
0.000;139.000;0.130
0.000;140.000;0.069
0.000;141.000;0.147
0.000;142.000;0.056
0.000;143.000;0.126
0.000;144.000;0.047
0.000;145.000;0.123
0.000;146.000;0.071
1.000;0.000;0.114
1.000;1.000;0.037
1.000;2.000;0.067
1.000;3.000;0.140
1.000;4.000;0.076
1.000;5.000;0.051
1.000;6.000;0.100
1.000;7.000;0.088
1.000;8.000;0.041
1.000;9.000;0.083
1.000;10.000;0.048
1.000;11.000;0.054
1.000;12.000;0.074
1.000;13.000;0.103
1.000;14.000;0.108
1.000;15.000;0.040
1.000;16.000;0.053
1.000;17.000;0.145
1.000;18.000;0.085
1.000;19.000;0.085
1.000;20.000;0.068
1.000;21.000;0.080
1.000;22.000;0.094
1.000;23.000;0.067
1.000;24.000;0.108
1.000;25.000;0.134
1.000;26.000;0.062
1.000;27.000;0.120
1.000;28.000;0.100
1.000;29.000;0.109
1.000;30.000;0.066
1.000;31.000;0.073
1.000;32.000;0.058
1.000;33.000;0.025
1.000;34.000;0.068
1.000;35.000;0.092
1.000;36.000;0.135
1.000;37.000;0.116
1.000;38.000;0.052
1.000;39.000;0.082
1.000;40.000;0.084
1.000;41.000;0.082
1.000;42.000;0.053
1.000;43.000;0.062
1.000;44.000;0.080
1.000;45.000;0.085
1.000;46.000;0.123
1.000;47.000;0.078
1.000;48.000;0.114
1.000;49.000;0.084
1.000;50.000;0.064
1.000;51.000;0.068
1.000;52.000;0.055
1.000;53.000;0.026
1.000;54.000;0.019
1.000;55.000;0.153
1.000;56.000;0.108
1.000;57.000;0.146
1.000;58.000;0.175
1.000;59.000;0.090
1.000;60.000;0.075
1.000;61.000;0.118
1.000;62.000;0.076
1.000;63.000;0.050
1.000;64.000;0.119
1.000;65.000;0.124
1.000;66.000;0.080
1.000;67.000;0.098
1.000;68.000;0.119
1.000;69.000;0.119
1.000;70.000;0.080
1.000;71.000;0.095
1.000;72.000;0.037
1.000;73.000;0.078
1.000;74.000;0.029
1.000;75.000;0.072
1.000;76.000;0.046
1.000;77.000;0.094
1.000;78.000;0.077
1.000;79.000;0.061
1.000;80.000;0.117
1.000;81.000;0.143
1.000;82.000;0.100
1.000;83.000;0.047
1.000;84.000;0.069
1.000;85.000;0.023
1.000;86.000;0.131
1.000;87.000;0.117
1.000;88.000;0.091
1.000;89.000;0.097
1.000;90.000;0.136
1.000;91.000;0.031
1.000;92.000;0.049
1.000;93.000;0.039
1.000;94.000;0.050
1.000;95.000;0.025
1.000;96.000;0.080
1.000;97.000;0.039
1.000;98.000;0.100
1.000;99.000;0.107
1.000;100.000;0.087
1.000;101.000;0.086
1.000;102.000;0.126
1.000;103.000;0.080
1.000;104.000;0.088
1.000;105.000;0.019
1.000;106.000;0.171
1.000;107.000;0.057
1.000;108.000;0.039
1.000;109.000;0.057
1.000;110.000;0.120
1.000;111.000;0.106
1.000;112.000;0.102
1.000;113.000;0.036
1.000;114.000;0.087
1.000;115.000;0.129
1.000;116.000;0.119
1.000;117.000;0.099
1.000;118.000;0.086
1.000;119.000;0.167
1.000;120.000;0.044
1.000;121.000;0.122
1.000;122.000;0.118
1.000;123.000;0.087
1.000;124.000;0.029
1.000;125.000;0.108
1.000;126.000;0.070
1.000;127.000;0.075
1.000;128.000;0.085
1.000;129.000;0.094
1.000;130.000;0.094
1.000;131.000;0.091
1.000;132.000;0.080
